account,tweets,compound
RCSnews,2661,0.3912897406989853
RCSI_Irl,1526,0.39082169069462647
RCSEdFDS,62,0.5997999999999999
RCSEd,2599,0.3839336283185841
RCRadiologists,2330,0.35037094420600856
Rcpsych,3001,0.1590590803065645
Rcpsglasgow,2405,0.3830583367983368
RCPI_news,1799,0.3713404113396332
RCPhysicians,2586,0.39913542150038667
RCPEdin,2755,0.36481546279491833
RCPCHtweets,2436,0.3111649425287356
RCPath,2191,0.4117791419443177
RCOphth,1996,0.3370275551102205
Rcollem,1675,0.24558411940298505
RCObsGyn,2460,0.34192886178861787
RCOANews,2564,0.44035456318252736
Rcgp,2801,0.30434526954659047
FSRH_UK,2072,0.3542284266409267
FSEM_UK,1359,0.36084047093451066
FPH,1238,0.5155369143780291
FOMNews,1121,0.2662719000892061
FICMNews,1467,0.4152248807089298
FDS_RCS,647,0.3392565687789799
FacultyPharmMed,967,0.34671458117890386
